GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
filtros,ar.edu.unahur.obj2.service,PaisService,0,50,1,1,0,11,1,4,0,4
filtros,ar.edu.unahur.obj2.service,ConvierteDatos,7,20,0,0,2,3,0,2,0,2
filtros,ar.edu.unahur.obj2.service,ConsumoRecurso,7,20,0,0,2,7,0,2,0,2
filtros,ar.edu.unahur.obj2.model,DatosPais,0,24,0,0,0,1,0,1,0,1
filtros,ar.edu.unahur.obj2.model,Pais,9,76,1,3,3,17,4,8,3,7
filtros,ar.edu.unahur.obj2.model,Idioma,0,15,0,0,0,1,0,1,0,1
filtros,ar.edu.unahur.obj2,Main,7,0,0,0,3,0,2,0,2,0
filtros,ar.edu.unahur.obj2.filters,FiltroCompuesto,0,24,0,0,0,8,0,4,0,4
filtros,ar.edu.unahur.obj2.filters,FiltroAnd,6,28,0,0,3,6,1,4,1,4
filtros,ar.edu.unahur.obj2.filters,FiltroInsular,0,6,0,0,0,2,0,2,0,2
filtros,ar.edu.unahur.obj2.filters,FiltroPoblacion,0,19,0,2,0,4,0,3,0,2
filtros,ar.edu.unahur.obj2.filters,FiltroIdioma,2,20,1,1,0,4,1,3,0,3
filtros,ar.edu.unahur.obj2.filters,FiltroOr,12,22,0,0,4,5,2,3,2,3
filtros,ar.edu.unahur.obj2.filters,FiltroRegion,0,13,0,0,0,4,0,2,0,2
filtros,ar.edu.unahur.obj2.filters,Filtro,0,15,0,0,0,3,0,3,0,3
